upVotes	downVotes	url	type	title	username	realm	posttime	viewCount	commentCount	content
1	0	http://boards.na.leagueoflegends.com/en/c/skin-champion-concepts/uxAqctZ2-should-i-bring-back-my-evelynn-concept	recent	Should I bring back my Evelynn concept?	Akenero	(NA)	2016-11-17T23:11:49.605+0000	2	0	"
          I&#039;m thinking about bringing this back, with new prototype splash and lore to boot. Would people be interested in this? Also, any eve mains who want to talk to me about her kit, please let me know, because I want Evelynn players to want the kit in the game.
        "
1	1	http://boards.na.leagueoflegends.com/en/c/bug-report/Y48bTGib-new-katarina	recent	New Katarina	yugiketchum	(NA)	2016-11-17T23:10:28.229+0000	4	0	"
          I was playing Katarina today, I was killing minions and I threw my q at one that was almost dead but before my q could go off a minion killed the minion I was aiming at and my cooldown wasn&#039;t refunded. It&#039;s only happened once that but it did happen.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/skin-champion-concepts/FEx1Qi6X-new-supportmage-champion	recent	New Support/Mage Champion	The Quiet Angel	(NA)	2016-11-17T23:10:14.648+0000	3	0	"
          So I have an idea for a support/control mage champion. Haven&#039;t really put a name to the champion but have come up with the abilities surrounding the idea. The concept I have is an electric/lightning champion that can engage or disengage a fight.

Passive- Walking around causes friction, after stacking to 100 *like Passive on Yasuo* causes the next basic attack to inflict 35 bonus magic damage (Scaling with Ability Power) and slow the enemy for 10% movement speed for 2 seconds.

Lightning Bolt/Q- Calls upon the skies to strike down on a designated area. After a 1.5 second delay, a bolt of lightning descends. Enemies standing around the center are dealt 70,95,120,145,170 damage (Scaling with Ability Power) and slowed by 35% decaying over 2 seconds. Enemies standing in the center are dealt 50% more damage and stunned for 1 second. Cooldowns per level: 13,12,11,10,9

Electric Fence/W- Summons a fence *like Acceleration Gate on Jayce*  for 5 seconds that any enemy champion who passes through are stunned for .5 seconds, and are dealt 50,65,80,95,110 damage (Scaling with Ability Power). Friendly champions who pass through the fence gain 35% movement speed decaying over 2 seconds and gain 20% attack speed decaying over 2 seconds. Cooldowns per level: 16,15,14,13,12

Power Up/E- Targets a friendly champion (Can be cast on yourself) and grants them 35% attack speed decaying over 2 seconds but also gives the friendly champion 3 empowered auto attacks that deal bonus magic damage *like E on Nami* (Scaling with Ability Power) that cause a chain of lightning to bounce up to 5 enemies *like R on Volibear* Cooldowns per level: 15,14,13,12,11

Thunderstorm/R- Begins to summon a storm cloud and after a 1.5 second delay, the designated area is covered by a cloud that summons lightning bolts that strike the ground below it and deal 110/150/190 damage per second *like R on Gangplank* (Scaling with Ability Power). Each enemy standing within the clouds radius is slowed by 25% for 2 seconds and have a chance of being stunned for .5 seconds (Can only occur once per champion) Cooldowns per level: 110,90,70

Let me know what you think of this idea for a new champion! Please look at my other champion ideas and leave comments there too! Will keep trying my best to come up with new and creative ideas. Thank you!
        "
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/To8L31w8-leveling-new-smurf	recent	Leveling new smurf	Sorta Korean	(NA)	2016-11-17T23:09:28.354+0000	3	0	"
          I am leveling a new smurf and I am looking for people who are in the same boat. If you are leveling a smurf and want to play add me!

Thanks!

Smurf: Sorta Canadian
        "
1	0	http://boards.na.leagueoflegends.com/en/c/player-behavior-moderation/FPb5EXwn-why-have-post-game-ban-options	recent	Why have post game ban options?	lv100 Hitmonlee	(NA)	2016-11-17T23:09:16.779+0000	3	0	"
          I think (know*) the ban feature is waaaay overused and would like to hear what the community thinks about it.

my thoughts...
1) Take the report feature out of post game.

why? - people should have to go to a specific option in game or the players profile. anything that is easy to do will be done more than something that is harder to do. this is the main reason why i think it is an overused option. for example if i tell my top lane to stop feeding and play back and safe, he will 75% of the time not change at all and feed. thats his choice. i then say this is why we lose bc kids like you feed and wont help the team. he then gets butt hurt and reports me for toxic behavior bc its right there and all he has to do is click 2 times and i am punished. that to me is insane. on the other hand if you have to search the summoner name, then click report option, then select a few question, and type a short description, ppl wont do that unless they actually believe that the player needs to be punished. 

2) quit wearing your feelings on your shoulder...
3) its just a game dont let ppl get to you... its just as much a mental game as a skill based game
4) trolling should be a part of this game just like literally every other game on the planet.
5) this is, and im not kidding, the only game where i have ever even reported someone. and people are waaaaay worse on wow, cod, etc. this game just makes it too easy for butt hurt kids to report ppl for everything.

now if you disagree with me dont post anything or i will report you for for toxic behavior ;P
        "
1	0	http://boards.na.leagueoflegends.com/en/c/skin-champion-concepts/TsNXRXfm-how-to-build	recent	how to build	wolfhunter715	(NA)	2016-11-17T23:06:39.186+0000	3	0	"
          Can someone help me, what is the best way to build ash i am trying to master her and teemo but i would want to know to build them the best im lvl 30 please help.{{champion:22}} {{champion:17}}
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/9uINNtbL-how-do-you-counter-twitch-camouflage	recent	How do you counter twitch camouflage?	D out 4 Haram B	(EUW)	2016-11-17T23:06:27.015+0000	13	3	"
          Hey guys,

Last game I played a match where the enemy team had a twitch.

I saw him running towards our group while we were going back to base, i saw him using camouflage so i used a control ward right in the middle of our group to be able to see him.

Next thing you know, he pops out of camouflage right next to the control ward and we couldnt see him before.

Putting control wards in plain sight just to counter twitch is already a pain in the a** to do, so if it even doesnt work what can you do about it?

TIA for help!
        "
2	0	http://boards.na.leagueoflegends.com/en/c/bug-report/q4RRvVab-jhin-passive-for-rooting	recent	Jhin passive for rooting?	Nyymeria	(NA)	2016-11-17T23:05:42.435+0000	4	0	"
          When i was playing Jhin i saw the mark on enemy champions even though i didn&#039;t auto them or my ally did and the mark was already there and when you W them they don&#039;t get root so i can&#039;t tell when i can root them or not.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/cymgv1V1-meddler-confirmed-vayne-nerfs-thank-you-riot-for-listening-to-players	recent	Meddler confirmed Vayne nerfs thank you riot for listening to players	FaytalityHD	(EUW)	2016-11-17T23:05:34.986+0000	9	0	"
          {{sticker:slayer-pantheon-thumbs}}
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/Fw3c770B-i-created-a-wukong-rework-concept-pls-take-a-look-and-feedback	recent	I created a Wukong rework concept. Pls take a look and feedback :)	Animes are trash	(EUW)	2016-11-17T23:05:03.154+0000	11	2	"
          Hey guys. 

I was thinking off how we could rework Wukong. Sure he is decent right now, but he he is also outdated and could enjoy some fresh wind. 

First of all, how do we see Wukong and what are his Keyparts: 


- Stealth Engage: The ability to go into stealth and engage into the backline doing massive dmg surprising the enemy team. 
- Trickster: The ability to trick enemys with your clone and mobility. 
- Cyclone: His Ultimate is a big Keypart of Wukong and it would be nice if this could stay like it is. 

What can we cut out of his current Kit ? 

- His Q and the armorpen: It&#039;s nice to have it but it wouldnt be horrific if we would remove this ability since its not that meaningfull at all. 

- His Passive: His passive is one of the most forgotte passive in the game. Its &quot; ok &quot; to have it in the lategame but it could be reworked.

What are his strenghts what are his cons ? 

- Wukong is really punished when he falls behind. Since he has no form of waveclear or skillshot he can get punished for ever single minion he wants to take when behind. 

- Needs Dmg Items to be usefull. 

- His only direction is into the enemy. Trading against an enemy who is ahead is basicly never worth 

- He is mainly physical DMG. One Sunfire and he gets shit on. 

- Strong Initiation: His Init is A+ Lv. high DMG, good CC. 

- Very mobile: His is a really mobile Champion. 

- Snowballs really hard. 


What do we want ? 

- Keeping the Idendity of being a stealth engager with the Ultimate. 

- The ability to trick the enemy. 

- Adding some form of ranged skillshot.  

- Adding various DMG types ( such as AP or %Physical ). 

- Giving the enemy Time to react and counterplay. 

- Giving some way to improve his Jungling.

THE ABILITIES:
-

&gt; - Passive: No specific Name yet

&gt;After being unseen for at least 0.75 seconds, Wukong next basic attack or ability will slow his target for 20/25/30/35/40%. Also his next basic attack will deal 15+10/Lv. magic damage. 

This will improve he pre 6 Jungling a bit. The slow will scale for each point you put into W. This will prevent him from getting to much CC too early since you usually max W last. Also this will ad some magic damage into lane so he doesnt get fully punished when the enemy Maokai rushes Sunfire Cape. 

___________________________________________________________________________________________________________

&gt; - Q: Crushing Blow  

&gt; Skillshot:  Wukong extends his Staff and smashing it into ground in a straight line in front of him dealing X physical damage ( + % current HP dmg, not sure about this ) to all enemy units. Also the first enemy champion he hits will be marked. 

Another big change. This ability will give Wukong a way to do smthing even when behind and provides him with decent waveclear. Imagine an Illaoi Q just way thinner and way faster. The mark will be interesting once you lvl&#039;d W and E ( dont worry they will remain the same ). This Q will allow you to harass your enemy but its slow enough for the enenmy to react. 

____________________________________________________________________________________________________________

&gt; - W: Decoy  

&gt; Wukong enters invisibility for 1.5 seconds and leaves behind a decoy of himself which, after 1.5 seconds, vanishes and deals magic damage to all nearby enemies. If there is a marked enemy nearby the Clone will instead use a mimiced Nimbus Strike(E) on that enemy dealing half of Nimbus Strikes(E) damage. The Clone vanishes after he used Nimbus Strike(E). Wukong will remain stealth until it breaks. 

This combo can also trigger the passive slow ( but not the magic damage ). It also has cool mindplay in it. Remember it only jumps on the marked champion and thats the first hit with your Q. This can result into a nice combo in lane = hitting Q - W  and re(al)engage with your E + Passive. 

____________________________________________________________________________________________________________

&gt; - E: Nimbus Strike

Remains how it is. The only change is that your clone can only use nimbus strike if you have lvl&#039;d it at least once. 

____________________________________________________________________________________________________________

&gt; - R: Cyclone 

Also remains the same. The Movementspeed gain will probably be lowered to compensate the additional slow. 



Well thats it so far. This is a raw concept without big numbers. I tryed to keep Wukongs Idendity. 

I was playing around with an additional W passive like &quot; Wukong gains 20% Damage-Reduction for 1/2/3 seconds &quot; but  I think that would be too much tho . 

Pls send feedback and/or add some fresh Ideas.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/RqGzyTxB-l4-people-to-play-flex-with-add-meh	recent	L4 People to play flex with add meh	PizzaDoggo2	(NA)	2016-11-17T23:04:55.113+0000	6	0	"
          bruh
        "
1	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/APwHqmc2-were-item-sets-removed	recent	Were Item Sets Removed?	Wrathina	(NA)	2016-11-17T23:03:08.352+0000	6	0	"
          Were item sets removed in the new client? They were there in game yesterday, but I can&#039;t seem to locate them today.

If they were, please highly consider adding them back to the game. I find them highly useful, especially when I&#039;m playing a champion or a class that I&#039;m not familiar with.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/JFlFxklo-how-do-i-fix-screen-flicker-in-game-on-new-client	recent	How do I fix screen flicker in-game on new client	Sniper Eyes	(NA)	2016-11-17T23:03:03.239+0000	5	0	"
          whenever im on new client it runs perfect but as soon as the actually game starts loading my screen starts to flicker now i can alt+enter and i can make it into a window and i can see fine but my fps takes a dive any help would be appreciated
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/LEx43n4W-i-cant-play-league-anymore-the-client-wont-work	recent	I can't play League anymore, the client won't work	Hrd2H1t	(NA)	2016-11-17T23:02:51.248+0000	7	0	"
          Whenever I try to open the client. When I try to open League again, I get an error message and this... thing.

http://imgur.com/vp06lKY

Can anyone help me?
        "
1	0	http://boards.na.leagueoflegends.com/en/c/story-art/XMxIdk6A-snowdown-music	recent	Snowdown music	BADxW0LF	(NA)	2016-11-17T23:02:19.666+0000	8	0	"
          Was wondering if your snowdown music will ever be on Spotify. Last year&#039;s was amazing. Really want to add it to my christmas playlist.
        "
1	1	http://boards.na.leagueoflegends.com/en/c/bug-report/rUwHQotT-unable-to-remake-after-teammate-died	recent	Unable to remake after teammate died.	Dunk4life	(NA)	2016-11-17T23:01:56.454+0000	14	2	"
          So today I am playing  with my friend in a normal game but he died to red buff because he dced. He couldn&#039;t connect to  the internet for 10 minutes and we couldn&#039;t remake because of his death. Similar thing happened last time in a ranked game when our jungler lee sin  died when he invade and ragequit. We players should be able to remake when this kind of things happen.
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/mZ627EOj-cant-click-accept	recent	"Cant click "" ACCEPT """	TheLastKamykaze	(EUNE)	2016-11-17T23:00:30.696+0000	6	0	"
          Here are the images. As you can see both the Accept and the Decline buttons are flat. Because of that i have a penalty.
https://i.imgsafe.org/e3556331fc.png
https://i.imgsafe.org/e3554d92d4.png
        "
1	0	http://boards.na.leagueoflegends.com/en/c/memes/dlGjWVpB-when-you-see-a-bunch-of-talk-about-a-new-champ-on-the-boards	recent	When you see a bunch of talk about a new champ on the boards...	TyrekGoldenspear	(NA)	2016-11-17T22:59:42.088+0000	12	7	"
          But you were so late to the boards you saw threads talking about her without any links to the comic.

http://s2.quickmeme.com/img/ff/ff3fee27b5eb23e7668d225661323c9a5ef4fcd2b2e6156fa08820e198a69fd5.jpg

But then you actually see the comic.

https://cdn.meme.am/cache/instances/folder666/400x400/47703666.jpg

And then your first thought is...

{{champion:112}} Well... There are _some_ things Piltover has going for it...
        "
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/yi36vZal-lf-plat-jungler-for-compete-league-team	recent	LF plat  jungler for compete league  team	BronzeGatekepper	(NA)	2016-11-17T22:59:41.415+0000	4	0	"
          add me
        "
1	0	http://boards.na.leagueoflegends.com/en/c/bug-report/Lw2mB2kR-banning-problem-for-draft-mode-in-new-league-client	recent	Banning problem for draft mode in new league client	reznov859	(NA)	2016-11-17T22:57:15.367+0000	4	0	"
          I got kicked out of a game for banning a champ and i got a queue failure for 6 minutes. this doesnt make any sence. i did exactly what was needed to do and i got kicked out of champion select.
        "
2	0	http://boards.na.leagueoflegends.com/en/c/gameplay-balance/xN5y9bwx-can-ziggs-get-a-better-attack-animation-considering-it-is-part-of-his-kit	recent	Can Ziggs get a better attack animation? Considering, it is part of his kit....	xxxMadLionxxx	(NA)	2016-11-17T22:57:07.850+0000	11	2	"
          Ziggs passive occasionally grants his next auto attack some AP scaling, but the thing that has been bothering me, is the fact that it is one of the worst attack animations in the game. It is slow as hell with a long wind up. Other mages who have no ap scaling on there auto attacks have better animations.

I just think its kinda silly for him to have such a horrible attack when he actually needs to use it to get damage off. Other mages don&#039;t use there auto attacks so it doesn&#039;t matter if it is bad.

In Ziggs case, his auto attacks matters....Can he get a decent animation please?

Thanks
        "
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/LPHEyUtV-need-a-top-laner-for-flex-and-team	recent	need a top laner for flex and team	The Auhvenger	(NA)	2016-11-17T22:57:01.332+0000	7	0	"
          Need a good and consistent top lane for team as well as flex que we have 4 on right now so add me for inv
        "
1	0	http://boards.na.leagueoflegends.com/en/c/team-recruitment/kkqZxv0U-need-1-for-flex	recent	need 1 for flex.	cunca	(NA)	2016-11-17T22:55:58.336+0000	7	0	"
          hit me up.     cunca
        "
